employee_id,age,gender,education_level,marital_status,tenure,job_role,department,salary,work_location,performance_rating,projects_completed,training_hours,promotions,overtime_hours,satisfaction_level,work_life_balance,average_monthly_hours_worked,absenteeism,distance_from_home,manager_feedback_score,churn
E00016,51,Female,Bachelor's,Married,9,Analyst,Sales,68043.00,On-site,2.0,6,41,0,18,0.45,NULL,229,1,3.00,1.1,0
E00017,59,Male,Master's,Married,11,Developer,HR,45279.00,On-site,5.0,8,50,0,4,0.51,NULL,274,13,11.00,6.0,0
E00018,23,Male,Bachelor's,Married,1,Manager,Sales,41702.00,On-site,5.0,28,36,0,24,0.83,NULL,298,15,27.00,8.9,0
E00019,42,Male,High School,Married,10,Developer,Sales,135487.00,On-site,4.0,29,42,0,23,0.34,NULL,200,11,4.00,8.1,0
E00020,54,Female,PhD,Married,9,Analyst,IT,68691.00,On-site,4.0,18,91,0,39,0.86,NULL,195,6,38.00,7.0,0
E00021,33,Male,Bachelor's,Married,11,Analyst,IT,33824.00,Remote,2.0,21,61,0,27,0.87,NULL,212,13,43.00,1.6,0
E00022,43,Male,Master's,Divorced,3,Developer,Sales,63959.00,On-site,4.0,48,50,0,38,0.51,NULL,260,16,21.00,5.3,0
E00023,46,Female,High School,Single,2,Developer,Sales,135363.00,On-site,4.0,35,52,0,25,0.02,NULL,198,4,14.00,7.7,0
E00024,48,Female,Bachelor's,Married,6,Analyst,HR,140822.00,On-site,2.0,2,0,1,26,0.92,NULL,269,16,19.00,7.2,0
E00025,49,Female,Bachelor's,Divorced,9,Developer,IT,44938.00,Remote,1.0,29,63,0,15,0.14,NULL,295,18,9.00,6.9,0
E00026,37,Male,High School,Married,7,Analyst,IT,109079.00,On-site,2.0,36,15,0,10,0.53,NULL,165,17,47.00,7.0,1
E00027,36,Female,Bachelor's,Married,7,Developer,Sales,79504.00,On-site,4.0,15,1,0,26,0.67,NULL,244,9,35.00,8.4,1
E00028,24,Female,High School,Single,13,Sales,Marketing,98097.00,On-site,2.0,1,1,0,27,0.10,NULL,242,19,47.00,7.4,0
E00029,58,Male,Bachelor's,Single,3,Developer,Marketing,79356.00,On-site,5.0,40,57,0,39,0.75,NULL,164,5,21.00,2.7,0
E00030,28,Female,Bachelor's,Married,14,Analyst,HR,66097.00,On-site,1.0,10,16,0,5,0.61,NULL,278,5,6.00,3.2,0
E00031,42,Male,High School,Single,14,Developer,Sales,80938.00,Hybrid,1.0,46,85,0,44,0.67,NULL,237,4,36.00,2.5,0
E00032,30,Female,Master's,Married,9,Developer,IT,97967.00,On-site,1.0,27,79,0,42,0.15,NULL,231,1,39.00,4.0,0
E00033,39,Male,High School,Married,1,Analyst,Sales,82580.00,Remote,2.0,28,76,0,14,0.27,NULL,202,4,5.00,6.5,0
E00034,25,Female,Bachelor's,Single,5,Developer,HR,114292.00,Remote,5.0,26,6,0,0,0.30,NULL,257,19,23.00,7.3,0
E00035,46,Male,Bachelor's,Single,14,Analyst,Sales,32117.00,On-site,3.0,44,61,0,35,0.15,NULL,193,13,33.00,3.1,0
E00036,35,Female,Bachelor's,Married,2,Developer,IT,30561.00,On-site,5.0,5,16,0,16,0.57,NULL,200,5,20.00,5.0,0
E00037,30,Male,Bachelor's,Single,7,Analyst,Sales,130191.00,Remote,5.0,37,20,0,7,0.08,NULL,246,7,36.00,3.7,1
E00038,47,Female,High School,Married,2,Sales,HR,34271.00,On-site,4.0,17,94,0,23,0.26,NULL,282,0,33.00,4.1,0
E00039,23,Female,Master's,Married,1,Developer,IT,36654.00,On-site,5.0,39,78,0,38,0.76,NULL,232,19,41.00,5.0,1
E00040,41,Male,Bachelor's,Single,12,Analyst,IT,45511.00,On-site,2.0,4,63,0,49,0.24,NULL,171,10,1.00,9.1,0
E00041,49,Female,High School,Single,12,Analyst,IT,88064.00,On-site,1.0,9,42,0,22,0.19,NULL,239,13,12.00,3.4,0
E00042,28,Other,Bachelor's,Married,8,Analyst,HR,128696.00,Remote,5.0,21,86,0,34,0.14,NULL,284,6,21.00,9.8,0
E00043,29,Male,Master's,Single,8,Manager,IT,63012.00,On-site,5.0,40,52,0,47,0.62,NULL,179,11,46.00,4.2,0
E00044,56,Male,Bachelor's,Married,8,Manager,HR,57769.00,On-site,3.0,23,40,0,43,0.45,NULL,267,7,43.00,2.0,0
E00045,35,Female,High School,Divorced,2,Analyst,Sales,74199.00,On-site,3.0,6,25,0,25,0.22,NULL,295,17,45.00,5.2,0
E00046,38,Male,Bachelor's,Married,1,Analyst,Marketing,51415.00,Remote,4.0,32,93,0,10,0.20,NULL,211,2,44.00,6.6,0
E00047,57,Male,Bachelor's,Single,13,Analyst,IT,38321.00,On-site,3.0,11,74,0,27,0.99,NULL,279,0,31.00,1.9,0
E00048,25,Male,Bachelor's,Married,13,Manager,IT,53112.00,Hybrid,4.0,16,25,0,5,0.07,NULL,183,8,39.00,3.2,0
E00049,23,Male,Master's,Married,3,Developer,IT,42165.00,On-site,2.0,35,69,0,36,0.74,NULL,173,3,34.00,3.2,0
E00050,27,Male,Bachelor's,Married,1,Manager,IT,56258.00,Remote,1.0,33,66,1,24,0.92,NULL,260,10,9.00,3.5,0
E00051,25,Male,Bachelor's,Married,7,Analyst,Sales,83856.00,On-site,3.0,19,88,0,9,0.45,NULL,287,8,17.00,1.6,0
E00052,50,Female,Master's,Married,9,Manager,HR,70824.00,On-site,2.0,49,78,1,32,0.48,NULL,259,1,21.00,3.6,0
E00053,39,Female,Bachelor's,Single,0,Developer,Sales,147778.00,Remote,1.0,14,58,0,46,0.85,NULL,284,10,36.00,3.4,1
E00054,47,Male,Bachelor's,Married,1,Manager,IT,92112.00,On-site,2.0,8,20,0,42,0.01,NULL,242,14,27.00,4.5,1
E00055,55,Female,Bachelor's,Married,5,Analyst,Sales,126116.00,Hybrid,2.0,15,41,0,24,0.19,NULL,251,13,11.00,9.9,0
E00056,31,Female,Bachelor's,Married,8,Analyst,Marketing,108327.00,Remote,2.0,7,69,0,0,0.71,NULL,269,7,15.00,3.2,0
E00057,57,Female,Bachelor's,Single,9,Manager,HR,116764.00,On-site,2.0,22,22,1,13,0.51,NULL,191,18,37.00,6.2,0
E00058,35,Male,Bachelor's,Single,11,Analyst,Marketing,48236.00,Remote,3.0,43,56,0,10,0.97,NULL,160,4,30.00,4.5,0
E00059,52,Male,PhD,Divorced,4,Analyst,IT,40781.00,On-site,5.0,6,52,0,25,0.21,NULL,205,9,39.00,6.4,1
E00060,36,Female,Master's,Single,4,Developer,IT,37142.00,On-site,2.0,27,75,0,38,0.89,NULL,207,9,37.00,7.3,0
E00061,29,Female,Master's,Single,2,Developer,Marketing,125348.00,On-site,1.0,30,26,0,3,1.00,NULL,265,8,10.00,8.0,0
E00062,35,Female,Bachelor's,Married,7,Sales,Sales,53741.00,Remote,3.0,39,61,1,13,0.00,NULL,299,5,3.00,9.7,0
E00063,44,Female,Bachelor's,Married,11,Developer,IT,136124.00,On-site,3.0,9,78,0,27,0.29,NULL,279,6,6.00,4.4,0
E00064,42,Male,High School,Single,5,Developer,IT,146625.00,Remote,2.0,14,71,0,7,0.98,NULL,281,7,40.00,1.1,0
E00065,37,Female,Bachelor's,Married,9,Sales,HR,116913.00,On-site,2.0,6,24,1,22,0.90,NULL,227,13,6.00,6.3,0
E00066,39,Male,Master's,Married,11,Analyst,Sales,36146.00,Remote,1.0,41,42,0,27,0.10,NULL,260,13,23.00,1.5,0
E00067,45,Male,Bachelor's,Married,1,Developer,Sales,112821.00,Remote,5.0,21,47,0,39,0.26,NULL,226,18,12.00,2.7,1
E00068,47,Female,Master's,Divorced,11,Analyst,IT,70859.00,On-site,3.0,21,60,0,21,0.63,NULL,224,4,16.00,7.9,0
E00069,46,Male,High School,Single,11,Developer,Sales,96892.00,Remote,2.0,38,18,0,17,0.25,NULL,150,18,33.00,3.5,0
E00070,50,Male,Bachelor's,Married,4,Manager,HR,64131.00,On-site,4.0,20,34,0,9,0.39,NULL,234,2,20.00,4.9,0
E00071,36,Female,Bachelor's,Single,3,Developer,HR,121006.00,On-site,4.0,20,20,0,35,0.25,NULL,246,5,40.00,2.0,0
E00072,22,Male,Bachelor's,Single,10,Sales,HR,125035.00,Remote,2.0,25,17,0,6,0.30,NULL,232,17,33.00,3.2,0
E00073,46,Female,Master's,Married,9,Manager,HR,82638.00,Hybrid,4.0,41,92,0,15,0.34,NULL,195,3,8.00,8.5,1
E00074,28,Other,PhD,Single,8,Developer,IT,123756.00,On-site,1.0,9,90,0,38,0.53,NULL,192,1,19.00,2.2,0
E00075,30,Female,High School,Married,3,Analyst,HR,102968.00,On-site,5.0,24,39,0,44,0.78,NULL,151,0,17.00,6.7,1
E00076,45,Male,High School,Single,7,Manager,IT,113893.00,On-site,4.0,5,73,0,2,0.55,NULL,196,5,9.00,7.1,0
E00077,22,Male,High School,Single,0,Developer,IT,55694.00,Remote,1.0,14,52,0,49,0.25,NULL,203,4,22.00,1.5,0
E00078,29,Male,Bachelor's,Married,4,Manager,IT,138238.00,Remote,4.0,23,4,0,40,0.66,NULL,298,3,29.00,4.3,0
E00079,45,Male,Bachelor's,Married,8,Analyst,IT,94067.00,On-site,1.0,15,21,0,3,0.83,NULL,293,19,2.00,4.7,0
E00080,32,Male,Master's,Single,2,Manager,HR,34336.00,On-site,1.0,36,55,0,39,0.65,NULL,184,11,45.00,2.2,0
E00081,38,Female,Bachelor's,Divorced,10,Developer,IT,81948.00,Remote,2.0,3,13,1,48,0.80,NULL,189,13,37.00,2.9,0
E00082,29,Male,Bachelor's,Single,12,Analyst,HR,57038.00,On-site,3.0,17,39,0,14,0.45,NULL,281,12,16.00,2.6,0
E00083,56,Female,Master's,Single,5,Sales,Marketing,122380.00,On-site,1.0,40,0,1,34,0.92,NULL,185,5,18.00,8.9,0
E00084,56,Male,Bachelor's,Single,10,Developer,IT,141306.00,On-site,4.0,36,76,0,5,0.61,NULL,164,9,43.00,9.7,0
E00085,54,Female,Bachelor's,Single,9,Manager,IT,45036.00,Remote,2.0,10,26,0,1,0.71,NULL,263,16,20.00,4.5,0
E00086,26,Female,High School,Single,5,Analyst,Sales,108887.00,On-site,3.0,12,48,0,16,0.11,NULL,241,15,21.00,4.7,0
E00087,49,Male,Bachelor's,Married,10,Sales,IT,127410.00,Remote,5.0,5,57,0,45,0.63,NULL,224,11,17.00,2.1,0
E00088,28,Male,Bachelor's,Married,5,Developer,HR,110561.00,Hybrid,1.0,32,80,0,12,0.03,NULL,214,12,14.00,9.8,1
E00089,30,Female,Bachelor's,Single,3,Developer,IT,53680.00,On-site,1.0,35,71,0,23,0.16,NULL,169,6,3.00,1.9,0
E00090,29,Female,Master's,Divorced,6,Developer,IT,39735.00,Remote,3.0,20,91,0,13,0.70,NULL,249,19,30.00,2.3,0
E00091,33,Female,Master's,Single,2,Analyst,Sales,111725.00,Hybrid,2.0,46,25,0,7,0.68,NULL,205,19,4.00,6.7,0
E00092,55,Male,Master's,Single,5,Developer,IT,56815.00,On-site,5.0,30,19,0,9,0.50,NULL,214,8,44.00,2.3,0
E00093,54,Male,Bachelor's,Single,9,Developer,IT,112344.00,Hybrid,3.0,17,82,0,27,0.66,NULL,152,9,25.00,6.7,0
E00094,44,Female,Master's,Single,4,Manager,IT,138999.00,On-site,5.0,16,13,1,32,0.82,NULL,294,16,40.00,3.2,1
E00095,45,Female,Bachelor's,Married,2,Sales,IT,41050.00,On-site,3.0,8,24,0,26,0.83,NULL,205,17,23.00,7.1,0
E00096,58,Male,Bachelor's,Single,1,Analyst,IT,115216.00,Remote,2.0,14,35,1,1,0.89,NULL,186,5,9.00,3.2,0
E00097,56,Female,Bachelor's,Married,11,Analyst,IT,41993.00,On-site,4.0,28,27,0,35,0.89,NULL,224,16,32.00,8.1,0
E00098,43,Male,High School,Married,14,Manager,Sales,105265.00,Remote,3.0,3,7,0,47,0.57,NULL,226,1,6.00,4.3,0
E00099,48,Male,Bachelor's,Married,0,Developer,Sales,107115.00,On-site,4.0,23,48,0,22,0.35,NULL,218,12,43.00,6.1,0
E00100,56,Male,Bachelor's,Married,7,Analyst,HR,113120.00,Remote,3.0,10,96,0,31,0.00,NULL,167,1,29.00,9.6,1
E00101,22,Male,PhD,Single,0,Analyst,Sales,70028.00,On-site,1.0,23,5,0,10,0.93,NULL,200,10,1.00,9.0,0
E00102,56,Female,Bachelor's,Single,4,Sales,Sales,85292.00,On-site,2.0,43,88,0,23,0.20,NULL,289,10,46.00,8.2,0
E00103,58,Male,Master's,Married,4,Analyst,Marketing,61325.00,Remote,1.0,11,0,1,14,0.83,NULL,260,15,27.00,4.6,1
E00104,35,Male,Bachelor's,Single,0,Analyst,HR,104161.00,On-site,5.0,30,93,0,24,0.25,NULL,242,0,23.00,2.7,0
E00105,24,Female,High School,Single,8,Analyst,Marketing,131099.00,Remote,4.0,3,4,0,21,0.32,NULL,207,5,46.00,8.9,1
E00106,22,Female,Bachelor's,Married,4,Manager,HR,130269.00,Hybrid,5.0,39,72,0,22,0.21,NULL,268,5,27.00,7.8,0
E00107,26,Female,Bachelor's,Single,8,Analyst,Sales,68401.00,On-site,4.0,43,7,0,0,0.78,NULL,180,5,26.00,6.3,0
E00108,47,Female,High School,Married,10,Analyst,HR,143787.00,Remote,4.0,19,87,0,21,0.44,NULL,183,4,30.00,5.4,1
E00109,35,Male,Bachelor's,Single,5,Analyst,Sales,63436.00,On-site,2.0,5,88,0,25,0.96,NULL,255,9,13.00,5.7,1
E00110,48,Female,Bachelor's,Divorced,6,Developer,HR,122025.00,Hybrid,5.0,44,40,0,19,0.81,NULL,217,7,29.00,6.3,0
E00111,30,Female,Bachelor's,Married,6,Manager,Sales,37068.00,Hybrid,1.0,4,71,1,9,0.57,NULL,219,10,31.00,7.2,0
E00112,36,Female,Master's,Single,1,Developer,HR,93567.00,On-site,1.0,13,84,0,12,0.78,NULL,241,9,48.00,6.7,1
E00113,36,Male,Bachelor's,Married,13,Manager,Sales,100002.00,On-site,4.0,14,18,0,20,0.84,NULL,198,0,33.00,9.5,1
E00114,47,Male,High School,Married,4,Analyst,Marketing,72078.00,Remote,4.0,16,2,0,24,0.92,NULL,203,16,9.00,5.6,1
E00115,34,Female,Master's,Married,1,Analyst,IT,84460.00,Hybrid,4.0,14,38,0,15,0.08,NULL,230,14,46.00,7.3,0
E00116,53,Male,Bachelor's,Married,3,Manager,HR,34960.00,On-site,5.0,24,15,1,14,0.80,NULL,257,4,45.00,1.9,1
E00117,53,Female,Master's,Married,11,Developer,IT,75177.00,On-site,5.0,42,64,0,4,0.18,NULL,244,18,34.00,7.4,0
E00118,25,Female,Master's,Single,2,Analyst,IT,92273.00,On-site,3.0,13,73,1,23,0.92,NULL,189,3,38.00,2.2,1
E00119,51,Female,PhD,Single,11,Sales,Marketing,139611.00,Remote,1.0,27,69,0,26,0.19,NULL,246,13,36.00,1.3,0
E00120,58,Female,Bachelor's,Divorced,12,Developer,HR,65075.00,On-site,4.0,30,68,0,48,0.17,NULL,203,2,28.00,7.3,1
E00121,44,Female,Bachelor's,Single,10,Analyst,IT,57430.00,Remote,5.0,44,16,0,44,0.49,NULL,243,4,9.00,7.1,0
E00122,36,Male,Bachelor's,Single,5,Manager,Sales,61536.00,On-site,3.0,26,20,0,33,0.86,NULL,267,8,15.00,5.0,0
E00123,50,Female,Bachelor's,Single,10,Manager,HR,134708.00,Remote,4.0,40,92,0,39,0.09,NULL,268,19,10.00,7.9,0
E00124,57,Female,Bachelor's,Married,14,Manager,IT,58609.00,On-site,1.0,35,61,0,0,0.06,NULL,257,3,31.00,3.8,0
E00125,34,Male,Bachelor's,Married,4,Developer,IT,67420.00,Hybrid,5.0,15,30,0,33,0.76,NULL,297,0,48.00,4.5,0
E00126,53,Male,Master's,Married,0,Developer,HR,45419.00,On-site,4.0,49,2,0,40,0.84,NULL,255,12,41.00,3.6,0
E00127,28,Male,High School,Married,14,Manager,IT,80439.00,On-site,2.0,34,37,1,25,0.46,NULL,186,4,32.00,1.3,1
E00128,43,Female,Master's,Married,1,Analyst,IT,40033.00,On-site,2.0,12,59,0,11,0.65,NULL,243,17,41.00,4.1,1
E00129,49,Male,Master's,Married,12,Analyst,IT,75603.00,On-site,1.0,20,91,0,8,0.13,NULL,240,17,48.00,9.7,0
E00130,23,Female,Bachelor's,Single,6,Developer,Sales,130165.00,Remote,3.0,46,91,0,32,0.60,NULL,219,12,46.00,2.8,0
E00131,27,Male,Bachelor's,Single,8,Manager,IT,82136.00,Remote,3.0,19,64,0,39,0.01,NULL,228,18,49.00,5.5,0
E00132,49,Male,Bachelor's,Married,0,Sales,Sales,100665.00,Remote,2.0,48,75,0,26,0.30,NULL,290,3,41.00,7.2,0
E00133,49,Female,PhD,Single,3,Developer,Sales,63571.00,Hybrid,1.0,7,15,0,6,0.02,NULL,195,10,10.00,1.1,0
E00134,41,Male,High School,Married,13,Sales,IT,89203.00,On-site,2.0,19,88,0,22,0.27,NULL,195,2,35.00,2.7,0
E00135,51,Female,Bachelor's,Married,14,Analyst,Sales,50582.00,Hybrid,4.0,31,81,0,27,0.02,NULL,247,10,49.00,4.9,0
E00136,32,Female,Bachelor's,Married,14,Developer,HR,82109.00,On-site,5.0,5,7,0,41,0.94,NULL,267,13,0.00,3.8,0
E00137,49,Female,Master's,Single,10,Developer,Sales,69755.00,Remote,3.0,13,69,0,32,0.88,NULL,207,14,8.00,4.2,0
E00138,46,Male,Master's,Single,2,Developer,Marketing,59806.00,On-site,5.0,33,50,0,14,0.21,NULL,264,19,0.00,2.7,1
E00139,54,Female,Bachelor's,Married,11,Manager,IT,53312.00,On-site,1.0,35,49,0,34,0.92,NULL,273,10,35.00,8.7,1
E00140,22,Female,High School,Single,11,Sales,Sales,128804.00,On-site,1.0,11,72,0,49,0.90,NULL,170,8,26.00,4.8,0
E00141,48,Female,Bachelor's,Married,10,Sales,IT,129532.00,Remote,2.0,33,17,0,24,0.22,NULL,278,18,8.00,5.7,0
E00142,34,Male,High School,Married,12,Manager,IT,144784.00,Remote,1.0,15,93,0,20,0.67,NULL,229,4,25.00,7.1,1
E00143,24,Female,Master's,Divorced,4,Developer,IT,75877.00,On-site,5.0,43,83,0,4,0.19,NULL,172,8,27.00,9.5,0
E00144,27,Female,Master's,Married,4,Analyst,Sales,52924.00,Remote,3.0,34,81,0,48,0.68,NULL,188,1,37.00,7.3,1
E00145,29,Female,Master's,Married,12,Developer,IT,111791.00,Remote,2.0,42,28,0,32,0.06,NULL,198,2,8.00,9.2,1
E00146,48,Male,Bachelor's,Married,11,Developer,HR,38111.00,On-site,1.0,12,74,0,23,0.86,NULL,280,7,13.00,8.2,0
E00147,30,Male,Bachelor's,Single,9,Analyst,Sales,99420.00,Remote,4.0,26,81,0,30,0.83,NULL,289,12,44.00,7.3,1
E00148,58,Male,High School,Single,9,Manager,Sales,144312.00,On-site,1.0,40,32,0,17,0.17,NULL,222,5,28.00,6.7,0
E00149,54,Male,Bachelor's,Married,10,Analyst,Sales,50022.00,Remote,3.0,29,2,0,30,0.44,NULL,169,16,4.00,6.9,0
E00150,45,Male,High School,Married,1,Manager,IT,149345.00,On-site,2.0,32,91,0,2,0.25,NULL,245,13,4.00,8.9,0
E00151,36,Male,Master's,Married,4,Manager,HR,48927.00,On-site,3.0,35,4,0,33,0.12,NULL,191,3,25.00,6.5,0
E00152,53,Female,High School,Single,3,Developer,Marketing,70467.00,Remote,5.0,31,79,0,23,0.01,NULL,181,2,12.00,8.7,1
E00153,53,Male,Master's,Married,12,Developer,IT,121499.00,On-site,5.0,13,58,0,43,0.30,NULL,267,1,47.00,9.4,0
E00154,45,Female,Bachelor's,Single,0,Analyst,Sales,58583.00,On-site,1.0,47,3,0,40,0.94,NULL,200,4,30.00,6.1,0
E00155,33,Male,Bachelor's,Married,11,Developer,IT,138800.00,Remote,4.0,39,17,0,40,0.89,NULL,182,13,33.00,3.0,0
E00156,23,Male,High School,Married,0,Manager,Sales,58876.00,Remote,4.0,44,26,0,29,0.43,NULL,157,8,33.00,6.6,0
E00157,24,Male,Bachelor's,Single,0,Analyst,Sales,106274.00,Remote,2.0,19,17,1,10,0.29,NULL,267,19,18.00,9.7,1
E00158,58,Male,Bachelor's,Single,7,Developer,Marketing,103919.00,Remote,1.0,26,65,0,30,0.31,NULL,217,0,22.00,2.0,1
E00159,38,Female,Master's,Single,14,Analyst,HR,72786.00,On-site,3.0,32,5,1,25,0.71,NULL,195,19,39.00,8.9,0
E00160,23,Female,High School,Married,2,Analyst,Sales,43435.00,On-site,1.0,31,98,0,25,0.27,NULL,204,16,22.00,8.8,1
E00161,23,Male,Master's,Married,8,Manager,IT,45485.00,Remote,4.0,41,82,1,37,0.83,NULL,168,13,1.00,1.8,0
E00162,49,Male,Master's,Married,14,Developer,HR,77296.00,Remote,3.0,28,92,0,40,0.36,NULL,239,0,35.00,3.7,0
E00163,44,Male,High School,Married,9,Developer,HR,85533.00,On-site,3.0,35,10,0,36,0.07,NULL,285,12,43.00,8.7,0
E00164,58,Female,Master's,Married,1,Analyst,HR,43559.00,Remote,4.0,6,37,0,25,0.12,NULL,271,14,2.00,6.5,0
E00165,53,Female,Bachelor's,Married,8,Manager,HR,109668.00,On-site,2.0,21,64,0,19,0.77,NULL,274,16,40.00,4.1,0
E00166,54,Female,Master's,Married,10,Developer,Marketing,79376.00,On-site,1.0,24,58,0,20,0.77,NULL,207,13,18.00,8.2,0
E00167,22,Female,High School,Single,8,Manager,IT,37356.00,On-site,4.0,10,53,1,12,0.40,NULL,186,14,29.00,1.0,1
E00168,40,Female,High School,Married,14,Analyst,IT,63540.00,Remote,1.0,2,20,0,45,1.00,NULL,233,7,40.00,2.7,1
E00169,23,Male,Bachelor's,Married,3,Analyst,Marketing,104973.00,On-site,1.0,4,98,1,47,0.22,NULL,289,7,39.00,5.6,0
E00170,47,Male,Bachelor's,Single,3,Sales,HR,131316.00,Remote,2.0,43,7,0,17,0.20,NULL,247,14,38.00,5.5,0
E00171,53,Female,Master's,Married,3,Developer,HR,81818.00,Hybrid,3.0,42,66,0,39,0.53,NULL,243,15,8.00,9.8,1
E00172,27,Female,Master's,Married,11,Developer,IT,64392.00,Hybrid,4.0,32,14,0,25,0.56,NULL,207,8,39.00,3.6,0
E00173,53,Female,Master's,Single,0,Developer,IT,103659.00,On-site,3.0,43,80,0,1,0.42,NULL,237,2,31.00,1.6,0
E00174,25,Female,High School,Single,4,Developer,IT,78217.00,Hybrid,5.0,8,91,0,16,0.58,NULL,171,0,42.00,4.0,0
E00175,32,Male,High School,Married,12,Manager,IT,131778.00,On-site,4.0,47,60,0,42,0.89,NULL,215,4,39.00,2.4,0
E00176,38,Female,Bachelor's,Married,5,Developer,Sales,99688.00,Remote,1.0,10,99,0,25,0.47,NULL,262,4,17.00,7.7,0
E00177,59,Female,Bachelor's,Married,3,Analyst,Sales,128823.00,Hybrid,4.0,2,50,1,37,1.00,NULL,201,16,37.00,4.2,1
E00178,45,Male,Bachelor's,Married,7,Developer,Sales,82681.00,Remote,3.0,7,40,0,30,0.95,NULL,208,19,23.00,7.9,0
E00179,26,Female,Bachelor's,Single,14,Manager,IT,30872.00,On-site,5.0,49,77,0,20,0.71,NULL,227,2,17.00,4.3,0
E00180,55,Female,High School,Single,14,Manager,IT,44730.00,On-site,2.0,35,16,0,40,0.70,NULL,257,1,42.00,4.2,0
E00181,27,Male,Bachelor's,Single,13,Developer,HR,96493.00,Remote,4.0,8,38,0,32,0.73,NULL,256,6,3.00,1.4,0
E00182,43,Male,Bachelor's,Married,13,Analyst,IT,140749.00,Hybrid,2.0,35,19,0,42,0.86,NULL,262,2,46.00,3.6,0
E00183,32,Male,Bachelor's,Divorced,2,Analyst,Sales,93614.00,Remote,5.0,32,38,0,11,0.83,NULL,198,19,5.00,1.2,0
E00184,37,Female,Master's,Single,10,Analyst,HR,123700.00,On-site,3.0,22,69,0,5,0.72,NULL,215,15,35.00,3.2,0
E00185,54,Male,High School,Married,8,Developer,Marketing,114951.00,On-site,5.0,2,69,0,22,0.82,NULL,153,8,49.00,2.8,1
E00186,30,Female,Master's,Married,12,Manager,IT,136732.00,On-site,4.0,42,76,0,14,0.43,NULL,157,8,25.00,2.8,0
E00187,27,Female,Bachelor's,Single,6,Analyst,IT,50812.00,On-site,1.0,41,34,0,24,0.50,NULL,214,6,8.00,9.5,1
E00188,37,Male,Master's,Married,7,Developer,IT,70759.00,On-site,3.0,49,98,0,37,0.89,NULL,286,4,37.00,1.1,0
E00189,50,Female,Bachelor's,Married,6,Analyst,IT,45395.00,Remote,4.0,15,26,0,30,0.09,NULL,258,13,0.00,2.1,0
E00190,24,Other,Bachelor's,Single,8,Developer,Sales,133024.00,Remote,3.0,45,31,0,49,0.78,NULL,176,16,22.00,9.6,1
E00191,41,Male,Bachelor's,Married,1,Manager,Marketing,49610.00,On-site,3.0,7,97,0,6,0.67,NULL,177,2,8.00,1.7,0
E00192,57,Male,Master's,Single,14,Developer,IT,129871.00,Remote,4.0,42,2,0,28,0.15,NULL,150,4,27.00,3.5,0
E00193,40,Female,Bachelor's,Single,14,Developer,IT,30909.00,Remote,1.0,0,31,0,31,0.42,NULL,155,2,13.00,9.0,0
E00194,47,Female,Bachelor's,Single,3,Analyst,IT,113880.00,On-site,1.0,42,70,0,26,0.73,NULL,164,17,21.00,6.8,0
E00195,24,Male,Master's,Married,1,Sales,HR,118181.00,Remote,4.0,23,33,0,7,0.72,NULL,159,16,4.00,7.9,0
